| detail | error_severity | event_message                                                                                                                                                      | hint | id                                   | identifier           | timestamp        |
| ------ | -------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------ | ---- | ------------------------------------ | -------------------- | ---------------- |
| null   | LOG            | connection authenticated: user="supabase_admin" method=trust (/etc/postgresql/pg_hba.conf:85)                                                                      | null | 1598fa34-d1af-4a4e-94f2-9ce27d47d195 | irpotadzvjtfzmgcpidn | 1774633532475000 |
| null   | LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                    | null | e8418a09-aaa9-40b4-9c42-81ce47469f9f | irpotadzvjtfzmgcpidn | 1774633532475000 |
| null   | LOG            | connection received: host=::1 port=57113                                                                                                                           | null | cbeadd5e-3ed9-4f99-82ea-0ff8a863405e | irpotadzvjtfzmgcpidn | 1774633532474000 |
| null   | LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                | null | e4d2c46b-2921-45e4-98eb-70d31473d04b | irpotadzvjtfzmgcpidn | 1774633524784000 |
| null   | LOG            | connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | null | 643c33d6-6871-4649-8184-932504756e31 | irpotadzvjtfzmgcpidn | 1774633524784000 |
| null   | LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                | null | f70a75fe-8e94-4485-aa80-d53cde6a3063 | irpotadzvjtfzmgcpidn | 1774633524743000 |
| null   | LOG            | connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | null | b67c062a-6873-41cf-951d-34c7ecb64c39 | irpotadzvjtfzmgcpidn | 1774633524743000 |
| null   | LOG            | connection authorized: user=postgres database=postgres application_name=supabase/dashboard SSL enabled (protocol=TLSv1.3, cipher=TLS_AES_256_GCM_SHA384, bits=256) | null | 7b89cf57-0256-4ff6-b967-d2a9c9234939 | irpotadzvjtfzmgcpidn | 1774633524741000 |
| null   | LOG            | connection authenticated: identity="postgres" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)                                                                | null | d6675dfa-42be-4506-9447-5b5d4862d991 | irpotadzvjtfzmgcpidn | 1774633524741000 |
| null   | LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                    | null | ce617183-bcbb-46c5-9903-3e0a39c4c5d2 | irpotadzvjtfzmgcpidn | 1774633517476000 |
| null   | LOG            | connection authenticated: user="supabase_admin" method=trust (/etc/postgresql/pg_hba.conf:85)                                                                      | null | ba3c483e-8fe4-422d-8cec-3a15e9e33891 | irpotadzvjtfzmgcpidn | 1774633517476000 |
| null   | LOG            | connection received: host=::1 port=38309                                                                                                                           | null | cce5689a-d9ef-4bca-9556-9d7be78d7a74 | irpotadzvjtfzmgcpidn | 1774633517475000 |
| null   | LOG            | connection authenticated: user="supabase_admin" method=trust (/etc/postgresql/pg_hba.conf:85)                                                                      | null | 066ec1b0-2791-478a-b8f6-a0ccfdafa3ae | irpotadzvjtfzmgcpidn | 1774633502514000 |
| null   | LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                    | null | 47ec9ec6-6c53-4d1a-9b07-c09202344022 | irpotadzvjtfzmgcpidn | 1774633502514000 |
| null   | LOG            | connection received: host=::1 port=40237                                                                                                                           | null | c94dfd1a-3074-473b-a7aa-79f1748731f9 | irpotadzvjtfzmgcpidn | 1774633502501000 |
| null   | LOG            | connection authorized: user=supabase_admin database=postgres application_name=postgres_exporter                                                                    | null | 141fd43c-f1f0-48c0-8a14-4cf8cdcb21b4 | irpotadzvjtfzmgcpidn | 1774633487482000 |
| null   | LOG            | connection authenticated: user="supabase_admin" method=trust (/etc/postgresql/pg_hba.conf:85)                                                                      | null | d30e0f5a-b3be-4f95-a294-66cb5146f874 | irpotadzvjtfzmgcpidn | 1774633487482000 |
| null   | LOG            | connection received: host=::1 port=16197                                                                                                                           | null | cb6fd7a1-b816-47c3-aa3b-367cce3b59fe | irpotadzvjtfzmgcpidn | 1774633487481000 |
